transfer_id,transfer_date,day_of_week,hour,sender_id,sender_tenure_days,sender_lifetime_transfers,channel,receiver_type,receiver_id,amount_bucket,new_user_activated_30d
T000001,2025-04-12,Saturday,11,S00001,122,15,by_card,external_card,,small,
T000002,2025-06-23,Monday,20,S00001,122,15,by_card,external_card,,medium,
T000003,2025-07-12,Saturday,17,S00001,122,15,by_card,external_card,,medium,
T000004,2025-08-16,Saturday,9,S00001,122,15,by_card,paynet_user,R01440,medium,
T000005,2025-07-27,Sunday,8,S00001,122,15,by_card,paynet_user,R01912,medium,
T000006,2025-05-17,Saturday,8,S00002,104,5,by_card,external_card,,small,
T000007,2025-09-12,Friday,16,S00002,104,5,by_card,external_card,,large,
T000008,2025-08-04,Monday,13,S00002,104,5,by_card,paynet_user,R00618,large,
T000009,2025-05-26,Monday,14,S00002,104,5,by_card,external_card,,medium,
T000010,2025-05-10,Saturday,19,S00003,133,6,by_card,paynet_user,R01214,small,
T000011,2025-05-26,Monday,9,S00003,133,6,by_qr,new_registration,R04456,medium,0.0
T000012,2025-08-29,Friday,10,S00004,51,2,by_card,external_card,,small,
T000013,2025-09-01,Monday,21,S00004,51,2,by_card,external_card,,medium,
T000014,2025-07-20,Sunday,16,S00005,27,1,by_card,paynet_user,R01563,small,
T000015,2025-06-10,Tuesday,16,S00005,27,1,by_card,external_card,,medium,
T000016,2025-09-11,Thursday,20,S00005,27,1,by_card,external_card,,small,
T000017,2025-09-26,Friday,15,S00005,27,1,by_qr,paynet_user,R01960,large,
T000018,2025-09-05,Friday,8,S00006,80,8,by_card,external_card,,small,
T000019,2025-04-20,Sunday,14,S00006,80,8,by_card,external_card,,small,
T000020,2025-09-13,Saturday,22,S00006,80,8,by_card,external_card,,medium,
T000021,2025-06-09,Monday,13,S00006,80,8,by_phone,new_registration,R03325,small,0.0
T000022,2025-09-15,Monday,13,S00006,80,8,by_card,external_card,,medium,
T000023,2025-04-20,Sunday,20,S00006,80,8,by_card,external_card,,small,
T000024,2025-05-06,Tuesday,21,S00006,80,8,by_card,external_card,,medium,
T000025,2025-04-13,Sunday,18,S00006,80,8,by_card,external_card,,small,
T000026,2025-05-19,Monday,14,S00006,80,8,by_card,paynet_user,R00907,small,
T000027,2025-09-03,Wednesday,11,S00006,80,8,by_qr,paynet_user,R00164,medium,
T000028,2025-05-29,Thursday,10,S00006,80,8,by_card,external_card,,small,
T000029,2025-09-09,Tuesday,17,S00007,684,62,by_card,external_card,,medium,
T000030,2025-06-17,Tuesday,18,S00007,684,62,by_card,external_card,,small,
T000031,2025-04-10,Thursday,7,S00007,684,62,by_card,external_card,,large,
T000032,2025-07-10,Thursday,21,S00007,684,62,by_card,paynet_user,R00664,large,
T000033,2025-08-11,Monday,15,S00007,684,62,by_card,external_card,,small,
T000034,2025-05-06,Tuesday,19,S00007,684,62,by_card,new_registration,R04906,medium,0.0
T000035,2025-07-21,Monday,19,S00007,684,62,by_card,external_card,,medium,
T000036,2025-09-06,Saturday,18,S00007,684,62,by_card,external_card,,medium,
T000037,2025-06-09,Monday,23,S00007,684,62,by_card,external_card,,small,
T000038,2025-08-17,Sunday,14,S00007,684,62,by_card,external_card,,large,
T000039,2025-07-24,Thursday,16,S00007,684,62,by_card,external_card,,large,
T000040,2025-08-06,Wednesday,18,S00007,684,62,by_card,paynet_user,R00020,large,
T000041,2025-04-22,Tuesday,16,S00007,684,62,by_phone,paynet_user,R00861,large,
T000042,2025-07-02,Wednesday,11,S00007,684,62,by_card,paynet_user,R00079,small,
T000043,2025-09-20,Saturday,20,S00007,684,62,by_card,external_card,,medium,
T000044,2025-04-09,Wednesday,23,S00007,684,62,by_card,paynet_user,R00230,medium,
T000045,2025-06-04,Wednesday,18,S00007,684,62,by_card,external_card,,medium,
T000046,2025-06-28,Saturday,18,S00007,684,62,by_card,external_card,,small,
T000047,2025-06-12,Thursday,16,S00007,684,62,by_card,paynet_user,R01723,medium,
T000048,2025-05-19,Monday,18,S00007,684,62,by_card,external_card,,small,
T000049,2025-05-10,Saturday,16,S00007,684,62,by_card,external_card,,small,
T000050,2025-05-27,Tuesday,17,S00007,684,62,by_phone,paynet_user,R01014,small,
T000051,2025-05-19,Monday,17,S00007,684,62,by_phone,new_registration,R03441,large,0.0
T000052,2025-07-11,Friday,19,S00007,684,62,by_phone,paynet_user,R00443,small,
T000053,2025-09-27,Saturday,19,S00007,684,62,by_card,external_card,,medium,
T000054,2025-08-04,Monday,16,S00007,684,62,by_card,external_card,,medium,
T000055,2025-05-20,Tuesday,11,S00008,4,1,by_card,external_card,,small,
T000056,2025-05-12,Monday,10,S00008,4,1,by_card,paynet_user,R00839,small,
T000057,2025-08-10,Sunday,14,S00008,4,1,by_card,external_card,,small,
T000058,2025-08-16,Saturday,11,S00008,4,1,by_card,paynet_user,R00225,large,
T000059,2025-04-27,Sunday,1,S00008,4,1,by_phone,new_registration,R03763,medium,0.0
T000060,2025-06-17,Tuesday,16,S00009,38,5,by_card,external_card,,medium,
T000061,2025-04-18,Friday,16,S00009,38,5,by_card,external_card,,small,
T000062,2025-04-19,Saturday,18,S00009,38,5,by_card,external_card,,medium,
T000063,2025-07-14,Monday,13,S00009,38,5,by_card,paynet_user,R00715,large,
T000064,2025-06-13,Friday,21,S00010,214,6,by_card,external_card,,small,
T000065,2025-07-27,Sunday,12,S00011,133,7,by_card,external_card,,small,
T000066,2025-07-13,Sunday,17,S00011,133,7,by_phone,new_registration,R04765,small,0.0
T000067,2025-09-03,Wednesday,14,S00011,133,7,by_card,paynet_user,R01030,medium,
T000068,2025-07-30,Wednesday,14,S00011,133,7,by_card,external_card,,small,
T000069,2025-04-17,Thursday,10,S00011,133,7,by_card,external_card,,medium,
T000070,2025-08-01,Friday,12,S00011,133,7,by_card,external_card,,large,
T000071,2025-07-09,Wednesday,21,S00011,133,7,by_card,external_card,,small,
T000072,2025-08-14,Thursday,11,S00012,175,39,by_card,external_card,,small,
T000073,2025-07-27,Sunday,20,S00012,175,39,by_card,paynet_user,R00462,small,
T000074,2025-09-22,Monday,21,S00012,175,39,by_card,external_card,,medium,
T000075,2025-06-26,Thursday,11,S00012,175,39,by_card,external_card,,small,
T000076,2025-08-05,Tuesday,16,S00012,175,39,by_card,paynet_user,R00023,small,
T000077,2025-05-10,Saturday,6,S00012,175,39,by_card,external_card,,small,
T000078,2025-08-06,Wednesday,14,S00012,175,39,by_card,paynet_user,R00870,small,
T000079,2025-07-18,Friday,19,S00012,175,39,by_qr,paynet_user,R01958,medium,
T000080,2025-09-20,Saturday,18,S00012,175,39,by_card,external_card,,medium,
